"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","multi_head_attention_forward","bprop","17279","-","0","0","0","7","256,1,1","4,22,1"
"elementwise_kernel","na","add_","fprop","1888","na","0","0","0","7","512,1,1","79,1,1"
"volta_sgemm_128x64_nt","torch.nn.functional","multi_head_attention_forward","bprop","17280","-","0","0","0","7","128,1,1","1,1,40"
"volta_sgemm_128x64_tn","torch.nn.functional","multi_head_attention_forward","bprop","23007","-","0","0","0","7","128,1,1","1,1,40"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","bprop","2144","-","0","0","0","7","512,1,1","96,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","bprop","2272","-","0","0","0","7","512,1,1","96,1,1"
"softmax_warp_backward","torch.nn.functional","multi_head_attention_forward","bprop","2208","-","0","0","0","7","32,4,1","175,1,1"
"volta_sgemm_128x64_nt","torch.nn.functional","multi_head_attention_forward","bprop","10176","-","0","0","0","7","128,1,1","1,2,40"
"volta_sgemm_128x64_nn","torch.nn.functional","multi_head_attention_forward","bprop","17471","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","na","View","bprop","5280","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","View","bprop","4288","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","bprop","3071","-","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","3136","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","5600","na","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","na","Split","bprop","3104","na","0","0","0","7","128,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","7008","na","0","0","0","7","32,16,1","19,1,1"
"elementwise_kernel","na","add_","fprop","1600","na","0","0","0","7","512,1,1","2,1,1"
"volta_sgemm_128x32_sliced1x4_nt","torch.nn.functional","multi_head_attention_forward","bprop","47071","-","0","0","0","7","256,1,1","2,19,1"
"volta_sgemm_32x32_sliced1x4_nn","torch.nn.functional","multi_head_attention_forward","bprop","35871","-","0","0","0","7","128,1,1","7,22,2"
